Id,TerritoryDescription,RegionId
4937559,Focused clear-thinking conglomeration,913
63191863,Self-enabling hybrid productivity,5521
52233660,Configurable motivating instruction set,4038240
2527,Assimilated encompassing database,30883794
248135,Sharable zero administration challenge,7929
4202,Ergonomic interactive encryption,401779133
4691,User-centric intangible task-force,79747216
51,User-friendly optimal initiative,66800173
90880,Multi-lateral 6thgeneration initiative,11972816
69937494,User-friendly even-keeled success,719
76219,Ergonomic client-server hierarchy,5161
37156948,Vision-oriented cohesive circuit,4897
34406,Synergized executive groupware,60394
71826,Grass-roots bandwidth-monitored Graphical User Interface,4961081
160,Polarized multimedia capability,90
723565283,Right-sized systematic standardization,2234
17,Pre-emptive hybrid info-mediaries,859
780099,Quality-focused hybrid open architecture,135237
5382,Profound actuating parallelism,724
24754459,Organic cohesive application,792
243925,Inverse well-modulated capability,719
98372,Customizable intangible analyzer,80
38,Triple-buffered 24hour paradigm,1096
426246,Mandatory zero tolerance interface,5521
6613,Streamlined 24/7 attitude,99977
52822,Optimized neutral Graphic Interface,80
40,Function-based static Graphical User Interface,9619
610441927,Profound actuating interface,818454309
843,Implemented attitude-oriented data-warehouse,92
775214,Sharable bifurcated intranet,7983
847721,Synergistic asynchronous success,60394
72,Extended intermediate adapter,11972816
543842,Team-oriented 5thgeneration productivity,9446400
1470775,Ergonomic responsive flexibility,30
97656103,Diverse multimedia knowledgebase,380404194
1563874,Seamless zero-defect Internet solution,884
6431,Innovative logistical initiative,235313
198860,Reduced foreground archive,150214681
2235153,Multi-layered 24/7 challenge,24
9240355,Assimilated asynchronous challenge,5521
232965,Programmable modular installation,881280883
37011,Customizable explicit archive,815
737502,Fundamental multi-tasking data-warehouse,331603
459524,Multi-channeled upward-trending hub,11918233
92896,Implemented web-enabled encryption,583402762
16,Open-architected analyzing approach,189026394
2865018,Right-sized homogeneous core,1085
911,Organic foreground forecast,5868364
