Id,CustomerId,EmployeeId,OrderDate
648459533,566019271,116,2013-06-01
9243308,58013584,2857273,1988-05-08
81901,17837292,28639606,1977-01-14
247063,6750754,5,2017-07-30
6830959,7536,69625,1980-04-26
36614,77661590,587889898,2001-04-10
863262,463732,88502,1987-06-03
592,877,52316839,2019-07-26
470344308,58013584,4354,1982-03-30
78013,372,1458,1978-04-04
4283,77661590,90836822,1979-10-10
270655789,117649,35779,1978-05-22
72063084,372,2857273,2009-05-12
800047475,8792899,6822,2016-08-16
1089,81846148,1,1992-02-25
751992,78276884,82,1970-06-26
12123,566019271,15250732,1985-04-14
34352018,8542,188,2016-06-03
56173,84896571,48,1998-07-26
4048271,211037,6885404,2012-09-07
948923376,54884459,4530918,2013-04-23
693518,84896571,90430019,1977-12-23
7684,99,34222758,2015-01-05
55334626,596937,567,1992-02-13
225,1080936,6009,1996-10-21
434014472,78340754,773242,1972-10-26
1595,117649,2073578,2005-11-18
80766048,8542,69,2001-01-20
506643437,78340754,53194,1971-04-24
261,1080936,12,1999-07-13
5007117,1066905,69577,1976-07-09
8016,49890,5707093,1975-01-02
112744,472011499,1084,2012-09-22
155787,78276884,9522,1987-02-06
3166138,310,1458,2015-01-21
80067,97075,8539,1981-02-23
74489,271114,71,1973-04-04
9135,39897330,260735,2009-05-29
5793734,847,33352,2023-11-26
578549563,42271,60480,2004-07-22
6941,773241,5684208,1997-12-03
4558,97075,90660656,1993-05-26
96936564,81917,59004,1987-11-28
291,42271,8539,1974-12-24
483161,36407211,64764102,1990-11-02
34904682,119407,88502,2013-11-27
33279,36407211,421679004,2004-10-12
389072,137,722,1995-12-24
828025029,97075,59,1990-09-19
40318,4357383,934379450,2013-02-08
3329,14406543,343622,1970-06-06
6592,271114,744907189,2018-05-09
96929,1184,934646,1987-11-29
182,8542,239,2003-01-11
726956913,1066905,80742712,2004-06-07
85913,576,4161176,1975-02-12
330076148,112,62690,1987-07-07
7494903,58013584,285,1978-09-16
4028091,1563129,724,1983-07-11
8029767,208155,580881,1994-07-23
3121,863653,2490975,1972-12-23
3378159,863653,201,2015-03-31
363501,531,3886,2021-09-12
8137,8246735,23717,2002-04-14
34720,119407,114,1974-12-20
22019,9600301,2001,1993-04-02
242,863653,360,1975-12-10
79373773,93780,27159,1989-06-14
875090,6750754,2857273,1997-02-14
7588787,278828163,368,2021-02-26
183762155,40219181,5707093,1978-08-22
76106882,1123,12529664,2018-02-03
7194338,93722627,739660674,1982-10-17
28655,9262324,1154,1999-09-16
80815996,17837292,59,2021-06-25
2086622,60061,88771,1989-03-22
9626674,372,9943016,2019-11-23
282,472011499,3040,2012-11-04
381721,877,778312,1970-11-07
33571215,40219181,9522,1973-01-25
8922524,93780,435536,2000-02-06
7302,77609978,522,1980-01-20
66632,61618979,136088512,1987-03-28
382,732700872,63003,1981-11-04
3610,1123,287439,1989-11-12
4979772,8246735,54974,1989-02-23
374933732,84896571,752305365,2005-01-02
5162,17837292,80742712,1996-05-17
72120,60356,24807,1971-04-13
3934,49890,934646,2011-02-25
7747,66440528,4393921,1979-04-22
3824,72676703,789,2000-09-13
83373893,4357383,522,1977-03-01
6306619,612259791,33051,2008-05-12
79490,8977170,85606,2005-08-12
66868,966965,66,1973-01-29
948024,9600301,85838,2020-06-16
336346,1080936,469,1994-02-27
6461,8977170,506178,1973-10-10
735114711,372,4393921,1989-11-19
535264112,566019271,686,2013-04-25
2090,9262324,60,2012-11-26
234096,7536,31,1997-04-06
6618388,877,18,1978-07-20
5524,594,885,1990-05-08
231438,91480289,4,2013-01-08
2587815,78276884,71,1983-08-30
429,93799031,562669059,2011-11-28
725,112,522,2013-03-24
157896,773241,7012,1989-03-21
559019,58013584,47837585,2011-04-25
22179,97075,18,1989-04-07
88666,78276884,213,2001-12-08
67490,966965,8757647,1971-04-22
247,863653,722,2003-08-23
98670725,1563129,36548,1985-09-20
196631485,81917,961072626,2011-04-22
8666,576,47,1981-06-14
76951223,596937,7431,1986-08-25
1028311,275558,82,2002-01-06
20220,602758,81840,1994-09-28
791,14406543,360,1987-08-30
89320797,275558,213,2001-03-10
40653506,6829,92220,1977-01-07
2127566,594,49,2018-04-20
75766,78340754,72,2008-01-05
40749551,8542,2786999,1998-08-04
837948,119407,66664462,2017-04-11
6235,316,62,2015-01-13
2341,42271,308,1971-02-05
16968222,61618979,8610,2015-03-02
396160,61618979,49820377,2022-02-28
264530244,566019271,15250732,1982-12-11
9571,612259791,5040275,1986-06-03
702003,49890,23717,1988-12-08
7334,1123,3074,1982-01-30
498773751,278828163,4742374,2021-05-20
497302262,594,752305365,1992-05-28
247669,117649,7431,1982-04-07
855,8883,5452,1971-11-16
606,54884459,85606,1978-07-14
5414,877,459,1992-03-07
500618974,11925,92220,1994-09-27
922,93780,948,1998-01-13
460142,253,69848080,1989-10-11
43583,463732,544416,1990-02-12
788442,60356,68766425,2002-10-12
1318299,149931,6009,2021-04-13
2244,6829,67081725,2000-09-29
13230187,566019271,59004,1988-03-14
601,316,15693861,1975-04-12
976,835249232,537222637,1989-12-11
708178,42271,94683,2003-11-24
735113,97075,6920467,1984-02-02
332812,75551,239,2017-12-05
543,54884459,6019073,1981-05-02
78629255,81917,15693861,2020-12-20
98184,852,83550,2019-10-02
472,84896571,7395449,2016-04-15
8211,39897330,7395449,1991-08-16
20992,463732,285,1986-07-28
61885,193,32155792,1992-06-22
80441098,7659135,562669059,2013-01-24
9559,86939255,537222637,2001-06-07
108,75551,739660674,2017-05-18
85172853,7659135,6009,2002-04-24
29287,78340754,66,1974-10-22
878187,372,421679004,1996-04-21
352249,50203255,2490975,1993-11-05
6340,93780,0,2023-11-11
364556,730188092,5752600,1999-11-03
980332,5522,68766425,1992-07-29
63367277,39897330,459,1979-02-14
9543247,39833813,8606,2002-07-06
8933,8883,5629,2023-08-07
8249396,66440528,5790467,2022-01-28
28384742,77609978,287439,1995-05-03
8892753,31686,49,1970-11-25
501695,835249232,3271062,2004-01-18
37695,773241,3,2016-04-14
47953,730188092,6920467,1996-04-10
6332519,14406543,767191013,2024-05-02
7762,117649,31,2024-05-18
979785685,278828163,368,2017-07-06
55101,472011499,47837585,2014-09-13
586186882,46938,843519,1982-04-23
39261,278828163,2521,1973-01-19
6073448,44645965,40082,2004-07-21
79634,40219181,6722,1986-11-26
7491764,863653,69,2015-01-23
148229,372,781,1978-05-24
45525,40219181,7431,2004-04-06
714566,17837292,213,2005-01-17
6358339,93722627,38562,1988-10-10
8234,316,5452,1976-07-13
1516297,4465670,6009,2021-11-12
4270621,93722627,81840,2005-04-17
7435,31128,72,1985-03-06
747600243,81917,3074,1988-04-17
240435,1066905,36548,2010-08-10
2106,316,776363003,1998-12-15
20020,966965,88771,1996-07-11
119,6829,35779,1974-07-22
60937,463732,114,2018-07-02
67154,168,91778,2012-11-03
20262,36407211,17719,2017-05-25
2797089,1184,33352,1970-11-24
438959,49890,739660674,2003-08-18
385325,149931,2803577,1991-01-28
5862,193,131,1978-05-16
7379,847,90554,2008-09-23
90219,115,9985,2001-05-30
17737,1123,862672,1983-04-13
53955787,6829,449,1991-11-27
394,596937,30234,1978-02-03
4000278,372,77210225,2014-07-29
464642381,75551,35779,1973-12-28
159,1184,4526,2010-09-01
7777,58013584,9522,1987-03-28
795,46938,5684208,1996-11-05
4975677,39897330,813028,2004-11-30
39433,205425,91778,1985-05-15
40277,66440528,520159678,1971-08-10
8673641,77661590,90836822,2015-12-01
8381698,81917,82,2003-07-07
299492,60356,1084,2001-12-02
4396,6646,934379450,1976-10-20
2895,119407,948,1973-09-14
825566,275558,90554,1982-04-22
50522,36407211,1,1988-03-02
5711298,49890,90660656,2017-11-30
88977393,119407,23,1982-02-24
5634388,472011499,22674959,1998-05-06
4880941,82294,537222637,1980-03-24
90843834,1123,239,1970-07-18
454751943,602758,4526,1985-02-26
87938009,1563129,788402,2024-03-31
175,3438,83550,2004-11-23
600709,14406543,788402,1975-06-02
824,8792899,81840,2012-01-13
906,6750754,4530918,1985-05-10
812,31128,847102841,1997-05-19
74595,50203255,47837585,2021-04-05
6242,1184,458,2016-02-21
4770847,78340754,89564708,2014-02-19
91313740,205425,3448518,1976-10-03
9919,99,188,1988-12-15
6631,82294,48,1998-11-10
77640724,112,838,2022-09-24
229357659,81846148,41,1985-12-28
630421,36407211,52015,1988-11-21
335847024,119407,7012,1991-06-08
7632,7659135,64764102,2021-12-26
21508,84896571,767053,1982-12-08
975,115,91778,2004-01-13
94862800,208155,15250732,1992-02-09
1980,863653,934379450,2012-02-14
751,1184,5752600,2009-09-26
3575,877,92220,1980-01-10
9555,97075,2490975,2019-07-18
21615810,732700872,364234,2006-08-28
524290942,372,89564708,1992-12-02
3718047,49428,60480,1988-02-11
911531,60356,565,2020-11-23
24517098,5522,343622,1987-04-10
545396554,77609978,63003,1998-06-09
8402142,6646,3040,1984-01-19
72111980,61618979,34222758,2012-01-28
192857,58013584,85,1989-09-21
93310,78340754,9943016,2013-11-13
959152684,50203255,136088512,2017-10-19
2975997,773241,62690,1978-03-23
713454,31686,6009,1997-01-04
555092232,602758,52731182,2003-01-17
3625504,730188092,85606,1992-11-30
793175,86939255,5629,1986-02-14
46108,31128,323191,1995-10-03
4429804,310,66664462,1988-10-24
724273935,6646,30,1978-08-10
7133156,211037,15693861,1996-10-23
580000,271114,360,1990-01-15
7380,253,12529664,1986-08-06
70198,831053523,49,2020-12-10
24506252,193,40,2014-02-06
9285708,463732,1458,2021-09-17
42915,81917,813028,1980-11-08
92751295,31128,2786999,2011-05-28
30423748,42271,789,2008-11-29
84,732700872,430346149,1975-12-19
3899,278828163,73,1971-03-09
74292,14406543,458,1984-07-27
173362222,835249232,608,1987-11-12
1985,8883,3623734,2019-05-28
945,137,213,1998-03-17
6680,773241,61572719,2004-10-11
148500,60061,948,1990-12-17
15174,93799031,322130,2001-11-04
47208767,193,47837585,1971-06-01
55441152,310,458,1983-03-28
892919,1563129,3623734,2002-10-01
95203021,594,48,2012-12-02
8595,49890,608,1973-04-28
587527,86939255,948,2008-09-09
234643,91480289,916,1979-05-28
190072,66440528,653228,1982-02-26
995457,863653,7431,2000-11-07
6911729,97075,790931693,1991-11-23
217824711,66440528,7234946,1977-01-07
637,75551,23717,2017-08-26
367400427,4357383,82,1982-11-07
30083,17837292,934379450,1984-06-27
786768,1123,510,2006-03-28
178163,39833813,69,1999-04-06
665619880,863653,700354957,2001-09-24
9275592,253,360,1987-04-02
713339,168,7431,1981-01-17
667076424,168,33051,2021-09-21
416737407,208155,51,2011-11-02
489322527,4357383,9436927,2013-05-02
9381675,93722627,7760640,1991-01-27
4028,86939255,778312,1974-05-17
2945,50203255,7,2012-01-26
4917782,594,40082,1974-08-17
679413,86939255,68766425,2012-02-03
3094,9600301,91,1977-04-10
452,7536,2073578,2020-08-26
655,193,35,1975-04-27
682411,72676703,73,1999-08-10
229,7659135,1084,2021-04-13
685,81917,73,2020-08-29
433192,576,458,2013-03-20
7290218,82294,752305365,2013-04-16
478098,7659135,7012,1995-11-10
2903,4357383,287439,1999-07-10
1475,14406543,9985,1978-03-12
796,77661590,4393921,1976-01-13
8348579,472011499,343622,1977-11-30
813131485,60356,365078,1974-10-22
50199168,6829,2786999,2021-06-11
979514,208155,7012,2001-06-17
29832830,1563129,261311976,1994-12-12
610712280,472011499,3074,2004-06-20
31266524,39897330,744907189,2007-04-03
9454,773241,66664462,1970-06-29
7364,66440528,61,2002-02-28
3158488,49428,92866405,1990-02-17
74775,42271,116,1985-04-15
753919,7659135,580881,2006-06-24
7542,576,700354957,2019-12-16
51444,271114,60,1997-08-09
9182054,193,114,2000-02-08
20118,6750754,1,1980-06-27
121825,9600301,68766425,1975-10-29
4232151,576,69625,2019-05-19
40817,193,3,1989-12-04
8057039,86939255,5042,2014-05-25
870653377,4465670,722,2015-05-27
700506445,602758,35779,1983-05-21
3638,39897330,364234,1980-05-09
3405,78276884,88502,1971-02-18
9658886,7659135,38,1990-02-24
8394,81917,49820377,2020-11-27
416,391215445,4724,1995-05-01
5480088,49428,136088512,2001-06-20
53957153,93780,31836364,2001-09-16
469924480,4357383,6009,2003-10-10
745616,275558,885,1997-09-29
961782,966965,338,1981-01-01
64155,1123,5629,2022-12-17
268994844,831053523,2,1989-07-17
5695,17837292,30234,1991-06-08
71711,72676703,136088512,1991-11-26
836716,137,30234,2020-05-03
1252,58013584,5629,1976-03-28
642822,372,52015,1987-12-21
3884655,115,537222637,2021-12-29
52,54884459,52316839,1993-12-21
676,877,1154,2004-10-24
1703801,463732,35,1983-12-14
501226789,81917,27159,1985-06-08
20421,6829,5361,2013-07-31
9113780,576,2757,1998-02-13
41720,91480289,68766425,1972-09-01
8757320,6646,8564137,1981-12-09
776745,211037,63003,2017-11-16
299365156,7659135,7,2010-11-24
682,253,120361240,2023-06-19
78146,75551,364234,2004-12-08
362996836,8246735,7108,2020-07-09
224246,966965,59755,2013-01-01
326,730188092,8757647,2004-01-10
996782,17837292,131,1977-09-27
981,8977170,34222758,1989-01-26
813858411,9600301,62690,2003-10-07
1183489,93799031,136088512,1994-05-25
797677904,7536,40082,2004-08-11
62424454,278828163,744,2008-02-14
1617411,1184,843519,2004-05-18
121562,4357383,3676104,2003-10-04
351024235,1184,767053,1988-11-06
737,149931,30234,1974-04-01
8101,316,8069643,2016-08-29
3101822,576,77210225,2022-03-27
76946161,81846148,6009,1971-05-12
84290,877,792280113,2007-07-18
5829728,835249232,4724,2007-10-09
955337,8542,54,2004-01-17
9388,966965,3676104,2001-02-02
4525,966965,4436970,1971-11-18
8470591,36407211,781,1974-02-28
68158,49890,934379450,1988-11-25
656583,835249232,131,1993-07-16
473687671,863653,744907189,2004-01-10
25613,602758,34222758,1996-11-12
2123216,6750754,36531930,2010-10-21
2199824,91480289,30,2000-08-11
48039497,39833813,515155,1977-11-25
44580472,8883,35434366,2007-11-28
1962967,7536,31836364,2014-12-01
1608724,117649,7012,1973-02-03
62245224,81846148,116,2021-11-22
529,46938,94683,2015-03-20
41672,44645965,62690,2009-12-18
74894,31128,178881624,1981-03-18
90158,36407211,686,1977-07-03
4665,66440528,90430019,2008-11-29
9291,93799031,767191013,2001-05-24
188225495,60061,2436,1977-08-12
875,1123,7760640,1999-07-03
77502096,61618979,83,2005-02-22
2881132,9262324,476,1989-01-05
25880,4357383,961072626,2003-08-18
81620472,1123,4724,2005-07-17
1010,205425,90836822,2012-09-08
694653,831053523,53194,1979-11-28
29061,1098199,1458,2002-04-11
932,50203255,3,1970-06-05
3933413,50203255,218030,1994-06-05
41460,77661590,28639606,1980-07-03
204456398,99,24807,2021-06-27
7267841,8246735,3040,1985-04-13
9675122,253,60891234,1981-05-19
30271734,310,499,1988-07-23
190,208155,934379450,1985-11-04
582223,137,72,1973-02-14
1786,77661590,7431,1997-12-09
559673773,8542,797,2005-11-29
898371966,253,6,1976-02-11
150404,60061,53194,2000-02-22
2645,966965,64764102,1970-06-02
9710,49428,862672,2012-02-20
39862198,463732,9985,2010-04-13
276,576,320347212,1975-11-25
81165636,278828163,68766425,1972-06-07
581,115,5752600,1971-04-16
483913728,36407211,862672,1991-03-21
9120,117649,35434366,2003-07-14
29622,4465670,8564137,2022-10-31
23107018,91480289,260735,1972-12-30
930615278,966965,724,1988-10-30
64025108,60356,38,1989-09-25
5489,594,4526,1982-01-03
3961820,310,69625,2011-06-03
3481,596937,565,2006-01-04
4488555,97075,47,1989-09-10
10575,93722627,60,2010-04-11
955,78340754,499,1975-08-17
807125964,60356,90,2023-12-25
2073532,58013584,459,1973-04-12
734138,14406543,459,1972-03-23
21957,78340754,4526,1980-03-13
1763,622968,6822,2000-08-18
44987390,82294,354477204,1982-07-05
714665374,78340754,653228,2009-01-19
557,463732,9985,1987-08-26
85829,149931,85606,1991-01-24
98986,8883,15693861,1988-10-17
470340,863653,4891177,1974-02-18
17495,97075,656664,2021-12-24
6270899,50203255,522,1978-12-14
936809,211037,201,2018-06-02
9452,60356,52316839,2022-06-19
68139,391215445,2123,2016-09-30
21618818,8542,2073578,2013-07-16
8016458,78340754,201,2002-08-19
2237282,622968,67081725,1978-08-09
89991026,310,172595633,1987-11-13
61176133,8883,537222637,1997-03-06
534626,8542,35779,2022-12-22
79945209,1080936,724,2003-01-25
21869,3438,3623734,1980-04-22
51568,93780,5452,2008-12-31
763,6829,1361718,1986-11-23
7298,3438,537222637,1995-01-12
548948214,81917,5087759,2017-09-17
57098467,566019271,510,2006-09-11
905023845,1123,85606,2012-06-27
330948,5522,83579756,1988-11-29
37592787,99,12529664,1985-03-11
122,77609978,744,1971-12-08
5894298,852,7234946,1981-01-23
2401,831053523,320347212,1973-12-03
8189,39897330,65380579,1987-02-12
5485,316,361,1981-05-08
64640710,84896571,8,1992-07-27
347309859,193,15241725,1992-04-23
55775,8246735,59,1994-10-29
5749508,863653,27159,2010-09-21
5277,8792899,51,1983-06-18
670525,78340754,38,1990-07-09
214013967,1123,95,2006-06-03
29582866,211037,52015,1972-09-06
28511481,112,5790467,2017-01-10
4352,831053523,722,2017-11-02
467917021,594,377,1971-10-17
918960714,472011499,3886,1993-10-18
2281,1066905,8539,2018-04-11
9496619,391215445,6019073,2009-06-16
721004,566019271,3040,1999-02-13
7498,730188092,476,1979-05-11
9582207,81917,72,1981-07-27
288,773241,2073578,1980-08-15
761546030,852,8539,2017-01-18
419923,54884459,781,2017-04-30
6344,49890,792280113,1973-04-19
5125,594,6009,1979-11-29
18247572,112,961072626,1992-02-15
5635,6829,1361718,2004-01-11
411134,49890,92866405,1983-07-15
5912059,831053523,4354,2014-09-28
3945,205425,1084,2017-08-01
5054,205425,260735,2021-12-04
54902066,596937,5042,2021-07-09
171518,271114,1458,1990-02-22
7059,78276884,69625,2010-08-08
8893,66440528,54,2017-03-26
