Id,TerritoryDescription,RegionId
6147,Enterprise-wide heuristic process improvement,513
74,Integrated exuding budgetary management,726463
6667,Inverse contextually-based frame,91420
78464034,Phased dynamic installation,32154
11,Reverse-engineered maximized conglomeration,901538
83311,Seamless client-driven architecture,573
583371,Operative non-volatile project,9854
449665679,Re-contextualized client-server interface,2795
11342,Multi-channeled tangible Local Area Network,65135
997,Intuitive modular encryption,20642
29,Multi-channeled transitional architecture,46251
85024722,Ameliorated bottom-line contingency,205457
7092144,Visionary 6thgeneration time-frame,32
9371,Stand-alone client-server access,99157312
10102196,Fundamental user-facing approach,901538
38072992,Configurable value-added Graphic Interface,513
2366,Configurable multi-state alliance,89650
2103,Realigned solution-oriented Internet solution,9928
2455,User-friendly composite frame,22989759
566,Extended radical flexibility,2686490
73261,Optional stable instruction set,52547374
5895,Robust multi-state product,143139
14,Triple-buffered regional knowledgebase,977895
68909918,Mandatory clear-thinking intranet,448046456
4874659,Synchronized real-time solution,63895
677,Business-focused directional focus group,11871139
89198,Organic discrete intranet,83932437
